host,ra,dec,id,period,color,mag,mag_err,offset,bias,phase,metallicity,flag,src
IN-NIC-OI,184.68739,47.33468,121078,18.42,0.97,22.61,0.21,0.55,0,0.18,8.89,,1m
IN-NIC-OI,184.69005,47.33265,116159,21.87,0.89,23.09,0.21,0.17,0.11,-0.13,8.9,,1m
IN-NIC-02,184.70103,47.35073,111064,14.59,0.98,22.99,0.34,2.11,0.3,0.16,8.9,,1m
IN-NIC-05,184.70263,47.31955,84934,15.64,0.97,23.35,0.45,1.28,0.42,-0.12,8.93,,1m
IN-NIC-05,184.70646,47.32085,77610,42.82,1,22.14,0.25,0.71,0.17,-0.15,8.94,,1m
IN-NIC-06,184.70453,47.32912,89618,12.47,1.01,23.06,0.31,0.77,0.39,-0.01,8.94,,1m
IN-NIC-06,184.70347,47.33143,93585,18.19,0.97,22.9,0.36,1.15,0.48,0,8.93,,1m
IN-NIC-07,184.70981,47.3538,99783,14.31,0.8,23.68,0.35,3.8,0.13,0.14,8.9,,1m
IN-NIC-07,184.71165,47.3515,95003,20.57,1.21,23,0.26,0.78,0.14,0.23,8.9,,m
IN-NIC-07,184.70864,47.35115,99756,29.05,1.04,22.7,0.23,0.59,0.1,0,8.9,,1m
IN-NIC-08,184.71348,47.31023,46762,12.65,0.71,23.65,0.56,6.64,-0.38,-0.02,8.95,,1m
IN-NIC-08,184.71404,47.31339,49332,16,0.71,23.63,0.68,5.62,0.45,0.1,8.96,,1m
IN-NIC-08,184.71249,47.31037,49942,16.34,1.03,23.68,0.39,0.63,0.62,-0.03,8.95,,1m
IN-NIC-08,184.71407,47.31168,46945,25.12,0.9,22.83,0.31,0.61,0.35,0,8.95,,1m
IN-NIC-08,184.7147,47.30831,189390,34.41,0.95,21.96,0.22,0.27,0.02,-0.02,8.95,,1m
IN-NIC-09,184.71988,47.31322,31615,23.98,1.32,22.07,0.45,2.34,0.4,0.22,8.98,,1m
IN-NIC-09,184.72036,47.31321,30136,26.07,1.22,22.36,0.4,1.02,0.35,-0.13,8.98,,1m
IN-NIC-09,184.72467,47.31105,14316,29.63,1.13,22.26,0.5,2.13,0.08,0.11,8.99,,1m
IN-NIC-09,184.72402,47.31193,17423,34.57,1.28,22.79,0.33,1.54,0.19,0.24,8.99,,1m
IN-NIC-09,184.72228,47.31203,22927,33.99,1.04,22.7,0.49,2.72,-0.09,0.19,8.98,,1m
IN-NIC-09,184.71972,47.31095,29058,40.54,0.95,22.56,0.32,4.97,-0.28,-0.19,8.97,,1m
IN-NIC-09,184.71854,47.31213,34159,41.57,1.01,21.91,0.24,0.38,0.13,-0.17,8.97,,1m
IN-NIC-IO,184.72694,47.31762,16299,12.28,1.28,22.86,0.53,6.31,0.54,0.17,8.99,,1m
IN-NIC-IO,184.72795,47.31605,11066,15.91,1.21,23.8,0.65,13.7,0.6,0.16,9,,1m
IN-NIC-IO,184.72657,47.31756,17357,22.45,1.21,22.39,0.58,4.39,-0.11,-0.06,8.99,,1m
IN-NIC-IO,184.72375,47.31687,24960,25.49,1.06,22.19,0.5,5.02,0.14,-0.07,8.99,,1m
IN-NIC-12,184.72694,47.31762,16299,12.28,1.28,23.33,0.6,2.37,0.83,0.03,8.99,,1m
